humidity,light,temperature,has_human
54,64.17,27,1
55,64.17,27,1
55,63.33,27,1
55,63.33,27,1
55,63.33,27,1
54,70,27,1
54,70,27,1
54,68.33,27,1
53,68.33,27,1
54,45,27,1
54,56.67,27,1
53,63.33,27,1
53,59.17,27,1
54,97.5,27,1
55,98.33,27,1
56,58.33,27,1
57,60.83,27,1
57,58.33,27,1
57,56.67,27,1
58,55.83,27,1
59,58.33,27,1
62,56.67,27,1
58,50.83,27,1
59,55,28,1
59,48.33,28,1
59,42.5,28,1
60,42.5,28,1
59,60.83,27,1
61,45,28,1
66,32.5,28,1
66,41.67,28,1
65,45.83,28,1
65,61.67,28,1
65,45.83,28,1
67,45,28,1
67,46.67,28,1
66,42.5,28,1
66,54.17,28,1
66,45,28,1
67,49.17,28,1
67,50,28,1
67,47.5,28,1
68,47.5,28,1
67,47.5,28,1
67,46.67,28,1
67,51.67,28,1
67,43.33,28,1
68,50,28,1
67,43.33,28,1
67,45.83,28,1
68,38.33,28,1
68,50,28,1
68,45,28,1
68,27.5,28,1
68,15,28,1
69,40.83,28,1
68,57.5,28,1
67,90.83,28,1
67,97.5,29,1
67,96.67,29,1
66,98.33,29,1
66,98.33,29,1
67,97.5,29,1
66,97.5,29,1
65,98.33,29,1
62,84.17,30,1
62,89.17,30,1
64,60,30,1
62,87.5,30,1
63,86.67,30,1
62,84.17,30,1
62,88.33,30,1
61,87.5,30,1
61,86.67,30,1
62,87.5,30,1
61,87.5,30,1
61,90,30,1
61,90,30,1
61,89.17,30,1
61,88.33,30,1
61,89.17,30,1
61,86.67,30,1
61,88.33,30,1
61,89.17,30,1
61,89.17,30,1
62,89.17,30,1
61,89.17,30,1
61,88.33,30,1
61,88.33,30,1
61,81.67,30,1
61,80.83,30,1
61,80.83,30,1
61,80.83,30,1
63,86.67,30,1
61,86.67,30,1
61,85.83,30,1
61,85.83,30,1
62,82.5,30,1
62,75,30,1
61,71.67,30,1
62,77.5,30,1
63,72.5,30,1
62,68.33,30,1
62,64.17,30,1
62,77.5,30,1
62,76.67,30,1
63,80.83,30,1
63,75,30,1
63,73.33,30,1
62,65.83,30,1
61,51.67,30,1
61,65,30,1
61,61.67,30,1
63,61.67,30,1
61,61.67,30,1
62,60.83,31,1
62,61.67,31,1
62,61.67,31,1
62,60.83,31,1
62,60.83,31,1
62,60.83,31,1
62,39.17,31,1
62,60.83,31,1
62,61.67,31,1
62,61.67,31,1
63,61.67,31,1
62,61.67,31,1
63,65,31,1
62,45,31,1
62,35.83,31,1
62,64.17,31,1
62,67.5,31,1
62,38.33,31,1
62,37.5,31,1
62,32.5,31,1
62,56.67,31,1
62,55,31,1
62,54.17,31,1
62,53.33,31,1
62,55.83,31,1
62,58.33,31,1
62,60,31,1
62,58.33,31,1
63,46.67,31,1
62,59.17,31,1
62,23.33,31,1
62,60.83,31,1
63,60.83,31,1
62,54.17,31,1
62,55,31,1
62,58.33,31,1
63,50.83,31,1
63,48.33,31,1
62,50.83,30,1
62,34.17,30,1
62,60,30,1
62,60,30,1
62,58.33,30,1
62,57.5,30,1
62,25,30,1
62,56.67,30,1
62,60,30,1
62,59.17,30,1
62,55.83,30,1
62,53.33,30,1
62,53.33,30,1
62,54.17,30,1
62,54.17,30,1
63,37.5,31,1
63,54.17,31,1
63,53.33,31,1
63,53.33,31,1
62,56.67,31,1
63,56.67,31,1
63,52.5,31,1
62,53.33,30,1
62,51.67,30,1
62,55.83,31,1
63,55.83,31,1
63,55.83,31,1
62,57.5,31,1
62,57.5,31,1
62,53.33,31,1
63,53.33,31,1
63,50,31,1
63,50,31,1
62,50,30,1
62,50.83,30,1
62,50,30,1
63,50,31,1
62,49.17,30,1
62,49.17,30,1
62,53.33,30,1
62,23.33,30,1
62,49.17,30,1
62,49.17,30,1
62,49.17,30,1
